id_publication;id_year
reference/crypt/Kopsell11;id_2011
reference/crypt/Sako05g;id_2005
reference/crypt/Biryukov05z;id_2005
reference/crypt/Moller11e;id_2011
reference/crypt/X11br;id_2011
reference/crypt/X11en;id_2011
reference/crypt/Kaliski05p;id_2005
reference/crypt/Li11b;id_2011
reference/crypt/X11ee;id_2011
reference/crypt/Lange11c;id_2011
reference/crypt/Biryukov05t;id_2005
reference/crypt/Bauer05f;id_2005
reference/crypt/X11me;id_2011
reference/crypt/X11an;id_2011
reference/crypt/Adams05p;id_2005
reference/crypt/Sako11f;id_2011
reference/crypt/Ross11;id_2011
reference/crypt/Bleumer11x;id_2011
reference/crypt/Kaliski05h;id_2005
reference/crypt/Alves-Foss11;id_2011
reference/crypt/Desmedt05e;id_2005
reference/crypt/Kaliski11g;id_2011
reference/crypt/Canetti05;id_2005
reference/crypt/Nita-RotaruC11;id_2011
reference/crypt/Preneel11m;id_2011
reference/crypt/Landrock05s;id_2005
reference/crypt/X11h;id_2011
reference/crypt/Bauer11;id_2011
reference/crypt/Campi11;id_2011
reference/crypt/X11ak;id_2011
reference/crypt/Nguyen05;id_2005
reference/crypt/X11ml;id_2011
reference/crypt/Whyte05;id_2005
reference/crypt/Biryukov11aa;id_2011
reference/crypt/Fontaine05i;id_2005
reference/crypt/X11nd;id_2011
reference/crypt/Brose11b;id_2011
reference/crypt/Moller11a;id_2011
reference/crypt/Biryukov11a;id_2011
reference/crypt/Schunter05a;id_2005
reference/crypt/Cronin05;id_2005
reference/crypt/X11jw;id_2011
reference/crypt/X11ol;id_2011
reference/crypt/Kuhn05c;id_2005
reference/crypt/Boneh11b;id_2011
reference/crypt/Nguyen05c;id_2005
reference/crypt/ZurkoS11;id_2011
reference/crypt/Bleumer05q;id_2005
reference/crypt/X11dw;id_2011
reference/crypt/Desmedt11;id_2011
reference/crypt/X11ip;id_2011
reference/crypt/Vimercati11b;id_2011
reference/crypt/Handschuh05b;id_2005
reference/crypt/Preneel05p;id_2005
reference/crypt/Bleumer05j;id_2005
reference/crypt/X11gd;id_2011
reference/crypt/Kuhn05b;id_2005
reference/crypt/Sunar11c;id_2011
reference/crypt/Soete11k;id_2011
reference/crypt/CrosbyW11;id_2011
reference/crypt/X11dl;id_2011
reference/crypt/X11mo;id_2011
reference/crypt/Cachin11;id_2011
reference/crypt/Bleumer05w;id_2005
reference/crypt/Biryukov11t;id_2011
reference/crypt/Schoenmakers05;id_2005
reference/crypt/Culnan11;id_2011
reference/crypt/Biryukov11d;id_2011
reference/crypt/X11oa;id_2011
reference/crypt/Alturi11;id_2011
reference/crypt/Moller11b;id_2011
reference/crypt/Adams05c;id_2005
reference/crypt/Kaliski11h;id_2011
reference/crypt/Bleumer05s;id_2005
reference/crypt/Kaliski11n;id_2011
reference/crypt/Bleumer11j;id_2011
reference/crypt/X11cn;id_2011
reference/crypt/Bosselaers05a;id_2005
reference/crypt/Carlet05a;id_2005
reference/crypt/Adams05g;id_2005
reference/crypt/Bauer11g;id_2011
reference/crypt/Contini05b;id_2005
reference/crypt/StolfoBS11;id_2011
reference/crypt/Bleumer11o;id_2011
