author;nbr_publication
Edward W. Tunstel;34
Nick A. Ivanescu;2
Naoshi Kondo;9
Brian Carlisle;4
Richard Bossi;2
Daniel Castro-Lacouture;2
John O. Gray;4
Lin Lin 0008;8
Chandler A. Phillips;3
Kauko Leiviskä;22
Parasuram Balasubramanian;2
Brandon Savage;2
Michael Kaplan;8
Chin-Yin Huang;7
Dana S. Nau;88
Robert S. Parker;7
Juergen Hahn;13
Moshe Yerushalmy;2
Jose M. A. Tanchoco;4
Jocelyne Troccaz;74
Karyn Holmes;2
Tae-Eog Lee;49
Theodore J. Williams;16
Timothy L. Johnson;2
Friedrich Pinnekamp;4
Walter Schaufelberger;14
Matthew Verleger;4
Petr Horácek;3
Birgit Vogel-Heuser;211
Steven J. Landry;8
Rolf Isermann;48
Enrique Castro-Leon;9
Agostino Villa;21
Stanislaw H. Zak;52
Francis J. Doyle III;53
Wilhelm Bauer;3
Markus Fritzsche;2
Peter Neumann;11
Wolfgang Mann;2
Sylvain Bruni;3
François B. Vernadat;42
Heinz-Hermann Erbe;8
Gianluca Paravati;9
Benjamin Hirsch;11
Andrea Lanzi;12
Sai-Keung Wong;19
Fabrizio Cutolo;5
Adriano Ferreti Borgatto;11
Michael Mcloughlin;2
Amol Dattatraya Mali;40
Christian Stein;4
Hakan Tüzün;4
Hanno Hildmann;11
Mattia Thibault;8
João Ricardo Bittencourt;3
Eugene Nalivaiko;4
Florian Schübeler;2
Yann Savoye;10
Daniel N. Boulos;2
Myriam Desainte-Catherine;17
Rebecca Ruige Xu;2
Michele Geronazzo;4
Frederico Fonseca;2
Felipe Oviedo Frosi;2
Simena Dinas;3
Inma Carpe;2
Yavuz Samur;7
Cetin Tuker;3
Thomas Lilge;2
Peter J. Werkhoven;16
Qingqing Zhao;3
Jiyoung Woo;8
Peter Vamplew 0001;23
Douglas Brown;6
Aki Koponen;4
Marcelo Fantinato;18
Krystina S. Madej;7
Ross Berger;4
Stefania Serafin;100
Nadia Magnenat-Thalmann;325
Anna Pyayt;8
Han Kyu Yoo;2
Jorge Roa;3
Murat Yilmaz;22
Gilberto Bernardes;6
Frank Steinicke;88
Michal Certický;10
George Papagiannakis;24
John Quarles;49
Jaime Lochner;2
Benjamin Hebgen;3
Kokolo Ikeda;16
Sicilia Ferreira Judice;5
D. Fox Harrell;34
Hartmut Koenitz;18
Benjamin Yankson;5
Tonguc Ibrahim Sezen;6
Brendan Jennings;46
Burak Tezateser;2
Vorapong Suppakitpaisarn;19
Antti Knutas;7
Jennifer Coleman Dowling;2
"Lal ""Lila"" Bozgeyikli";2
Newton Lee;113
Jouni Smed;21
Ryan P. McMahan;22
Min Chen 0003;60
Selcen Ozturkcan;3
Masahiko Itoh;4
Özhan Tingöy;2
Vineetha Bettaiah;2
Vaughan Powell;4
Krzysztof Pietroszek;20
Kim J. L. Nevelsteen;10
Sylvester Arnab;13
Isidro Moreno Sánchez;1
Moreno Marzolla;38
Martin Müller 0003;67
Celia Hodent;2
Sercan Sengün;3
Petyo Budakov;2
Elena Dzardanova;5
Mikhail Fiadotau;5
Lizhaung Ma;2
Susan Johnston;2
Niels Christian Nilsson;3
Yoshihiro Okada;95
Robert Kozma 0001;74
Igor Dall'Avanzi;2
Gabriele D'Angelo;44
Yowei Kang;5
