author;id_publication
Peter Bosch;tr/ibm/LILOG24
Christopher Habel;tr/ibm/LILOG18
Simone Pribbenow;tr/ibm/LILOG18
H. Raymond Strong;tr/ibm/RJ2274
Irving L. Traiger;tr/ibm/RJ2274
George Markowsky;tr/ibm/RJ2274
Egon Börger;tr/ibm/IWBS143
Jochen Dörre;tr/ibm/LILOG28
Bernhard Nebel;tr/ibm/IWBS82
Stefan Bayerl;tr/ibm/IWBS229
Karl-Hans Bläsius;tr/ibm/IWBS229
Günther Görz;tr/ibm/IWBS66
Kjell Johan Sæbø;tr/ibm/LILOG31
Roland Seiffert;tr/ibm/LILOG22
Stefan Benzschawel;tr/ibm/IWBS203
Ipke Wachsmuth;tr/ibm/LILOG12
Jean-Yves Lerner;tr/ibm/LILOG32
Ulrich Schatz;tr/ibm/LILOG32
Jan Wilms;tr/ibm/LILOGM14
Gosse Bouma;tr/ibm/LILOGM10
Bernd Walter;tr/ibm/IWBS151
Raymond F. Boyce;tr/ibm/RJ1318
Donald D. Chamberlin;tr/ibm/RJ1318
Raymond A. Lorie;tr/ibm/RJ2598
Bradford W. Wade;tr/ibm/RJ2598
Karin Neuhold;tr/ibm/IWBS207
Richard Rödler;tr/trier/MI98-14
Gerd Hoff;tr/trier/MI99-26
Martin Mundhenk;tr/trier/MI99-26
Manfred Laumen;tr/trier/MI96-16
Christoph Meinel;tr/trier/MI01-21
Harald Sack;tr/trier/MI01-21
Volker Schillings;tr/trier/MI01-21
Carsten Damm;tr/trier/MI98-06
Martin Gugat;tr/trier/MI96-32
Nguyen V. Thoai;tr/trier/MI94-10
Friedemann Leibfritz;tr/trier/MI00-01
El-Sayed M. E. Mostafa;tr/trier/MI00-01
Nguyen V. Thoai;tr/trier/MI97-24
Belinda B. King;tr/trier/MI97-09
E. Arian;tr/trier/MI99-12
A. Battermann;tr/trier/MI99-12
Ekkehard W. Sachs;tr/trier/MI99-12
Peter Gritzmann;tr/trier/MI92-26
Victor Klee;tr/trier/MI92-26
John Westwater;tr/trier/MI92-26
Dieter Baum;tr/trier/MI98-07
Dieter Baum;tr/trier/MI96-22
Christoph Meinel;tr/trier/MI02-21
Volker Schillings;tr/trier/MI02-21
Florian Jarre;tr/trier/MI98-12
Christoph Meinel;tr/trier/MI94-05
Anna Slobodová;tr/trier/MI94-05
Rainer Tichatschke;tr/trier/MI00-05
Alexander Kaplan;tr/trier/MI00-05
Tim Voetmann;tr/trier/MI00-05
M. Böhm;tr/trier/MI00-05
Manfred Laumen;tr/trier/MI96-17
Dieter Baum;tr/trier/MI03-01
Artur Czumaj;tr/trier/MI96-26
Przemyslawa Kanarek;tr/trier/MI96-26
Miroslaw Kutylowski;tr/trier/MI96-26
Krzysztof Lorys;tr/trier/MI96-26
Klaus Jansen;tr/trier/MI96-37
Klaus Lux;tr/trier/MI96-29
Markus Wiegelmann;tr/trier/MI96-29
Manfred Laumen;tr/trier/MI96-33
Helmut Seidl;tr/trier/MI97-06
Christian Fecht;tr/trier/MI97-06
Klaus Jansen;tr/trier/MI93-01
Jordan Gergov;tr/trier/MI93-21
Christoph Meinel;tr/trier/MI93-21
Christoph Meinel;tr/trier/MI01-06
Harald Sack;tr/trier/MI01-06
Harald Luschgy;tr/trier/MI97-08
Matthias Heinkenschloss;tr/trier/MI92-24
Bernd Sturmfels;tr/trier/MI96-31
Markus Wiegelmann;tr/trier/MI96-31
Martin Gugat;tr/trier/MI94-11
Christoph Meinel;tr/trier/MI98-29
Harald Sack;tr/trier/MI98-29
Christian Stangier;tr/trier/MI98-29
Arno Wagner;tr/trier/MI98-29
Mirjam Dür;tr/trier/MI96-38
Reiner Horst;tr/trier/MI96-38
Beniamino Di Martino;tr/trier/MI97-23
Christoph W. Keßler;tr/trier/MI97-23
Wei Zhou 0006;tr/trier/MI03-03
Christoph Meinel;tr/trier/MI03-03
Richard Rödler;tr/trier/MI99-11
Dieter Baum;tr/trier/MI94-14
Anna Bernasconi 0001;tr/trier/MI98-21
Carsten Damm;tr/trier/MI98-21
Igor E. Shparlinski;tr/trier/MI98-21
Reiner Horst;tr/trier/MI97-04
Le Dung Muu;tr/trier/MI97-04
Nguyen V. Thoai;tr/trier/MI97-04
